地区,2000年,2006年,2011年,2015年,2017年
北京,58,80,87,91,92
天津,21,45,55,55,57
河北,51,88,112,118,121
山西,24,56,74,79,80
内蒙古,18,37,47,53,53
辽宁,64,78,112,116,115
吉林,34,45,57,58,62
黑龙江,35,65,78,81,81
上海,64,67,66,60,37,37,60,66,67,64
江苏,69,116,151,162,167
浙江,35,68,102,105,107
安徽,42,83,115,119,119
福建,28,63,85,88,89
江西,32,66,86,97,100
山东,47,108,138,143,145
河南,52,84,117,129,134
湖北,54,86,122,126,129
湖南,52,96,120,124,124
广东,52,105,134,143,151
广西,30,55,70,71,74
海南,5,15,17,17,19
重庆,22,38,59,64,65
四川,42,74,93,109,109
贵州,23,36,48,59,70
云南,24,50,64,69,77
西藏,4,6,6,6,7
陕西,39,76,90,92,93
甘肃,18,33,42,45,49
青海,7,11,9,12,12
宁夏,6,13,16,18,19
新疆,16,31,37,44,47
